                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95096,                0.68608,                0.91493,                0.69429,                0.36016,                0.39642,                0.25423,                0.94396,                0.70112,                0.89513,               0.003332,               0.003332,               0.003332
                      1,                0.91412,                0.54496,                0.89254,                0.64376,                0.35745,                0.37262,                0.23163,                0.98463,                0.78348,                0.91294,              0.0064454,              0.0064454,              0.0064454
                      2,                0.93242,                0.55151,                0.89945,                0.50716,                0.31403,                0.32538,                0.20764,                0.99515,                0.85152,                0.92396,              0.0093387,              0.0093387,              0.0093387
                      3,                0.91455,                0.53769,                0.89763,                0.61602,                0.30644,                0.34941,                0.20737,                 1.0054,                0.86234,                0.93961,                0.00901,                0.00901,                0.00901
                      4,                0.86417,                0.49495,                0.88606,                0.63093,                0.33069,                0.35999,                0.22608,                0.96108,                 0.7752,                0.91446,                0.00901,                0.00901,                0.00901
                      5,                0.82303,                0.46394,                0.87547,                0.58722,                0.32562,                 0.3497,                 0.2164,                0.97598,                0.80798,                0.93622,                0.00868,                0.00868,                0.00868
                      6,                0.79379,                0.44067,                0.86735,                0.62851,                0.32941,                0.35587,                0.21473,                0.96172,                0.86575,                0.92488,                0.00835,                0.00835,                0.00835
                      7,                0.76973,                0.42364,                0.86191,                0.59638,                0.32659,                0.35738,                0.22196,                0.94993,                0.85811,                0.92265,                0.00802,                0.00802,                0.00802
                      8,                0.74945,                0.40881,                0.85656,                0.62047,                  0.343,                0.37595,                0.23309,                0.96064,                0.81739,                0.92646,                0.00769,                0.00769,                0.00769
                      9,                0.73222,                0.39714,                0.85257,                0.63196,                0.32787,                  0.368,                0.23227,                0.95102,                 0.8249,                0.92724,                0.00736,                0.00736,                0.00736
                     10,                0.71826,                0.38729,                0.84966,                0.62496,                0.35349,                0.39103,                0.23829,                0.95594,                0.83813,                0.93468,                0.00703,                0.00703,                0.00703
                     11,                0.70389,                0.37818,                 0.8465,                0.61858,                0.35734,                0.39267,                0.24355,                0.95254,                0.82965,                0.93223,                 0.0067,                 0.0067,                 0.0067
                     12,                0.69349,                 0.3708,                0.84428,                0.63757,                0.34414,                0.38343,                0.23497,                0.95853,                0.85444,                 0.9294,                0.00637,                0.00637,                0.00637
                     13,                0.68101,                0.36286,                0.84134,                0.63807,                 0.3491,                0.39423,                0.24418,                0.94804,                0.85555,                0.92869,                0.00604,                0.00604,                0.00604
                     14,                0.67137,                0.35689,                0.83909,                0.64081,                0.36186,                0.39335,                0.24182,                0.94833,                0.85812,                0.93048,                0.00571,                0.00571,                0.00571
                     15,                0.65946,                0.34939,                0.83611,                0.64981,                0.35096,                0.40023,                0.24553,                0.94917,                0.86212,                0.93271,                0.00538,                0.00538,                0.00538
                     16,                0.65144,                0.34372,                0.83454,                 0.6245,                0.35066,                0.39839,                0.24302,                0.94974,                0.87565,                0.93126,                0.00505,                0.00505,                0.00505
                     17,                0.64262,                0.33829,                0.83269,                0.64038,                0.35394,                0.38896,                0.23948,                  0.948,                0.89144,                0.93054,                0.00472,                0.00472,                0.00472
                     18,                0.63358,                0.33256,                0.83112,                0.64099,                0.34405,                0.39014,                0.24223,                0.94813,                 0.8785,                0.92709,                0.00439,                0.00439,                0.00439
                     19,                0.62455,                0.32682,                0.82855,                0.64422,                0.34352,                0.38959,                0.24157,                0.94785,                0.89423,                0.92608,                0.00406,                0.00406,                0.00406
                     20,                0.61592,                0.32114,                0.82672,                0.61789,                0.34868,                0.39056,                0.24177,                0.95061,                0.90454,                0.92955,                0.00373,                0.00373,                0.00373
                     21,                 0.6078,                 0.3168,                0.82557,                0.61621,                0.34558,                0.38966,                0.24257,                0.94832,                0.90323,                0.92968,                 0.0034,                 0.0034,                 0.0034
                     22,                0.60073,                0.31239,                0.82517,                0.61623,                0.34529,                0.39061,                0.24437,                0.94928,                0.90702,                0.93162,                0.00307,                0.00307,                0.00307
                     23,                0.59192,                0.30636,                0.82245,                0.61912,                0.34235,                0.38923,                0.24296,                0.95123,                0.90771,                0.93257,                0.00274,                0.00274,                0.00274
                     24,                0.58342,                0.30228,                0.82143,                0.61549,                0.34163,                0.38812,                0.24298,                0.95097,                0.90817,                0.93346,                0.00241,                0.00241,                0.00241
                     25,                0.57552,                0.29649,                0.81952,                0.62744,                0.34351,                 0.3889,                0.24366,                0.95031,                0.90833,                0.93322,                0.00208,                0.00208,                0.00208
                     26,                0.56698,                0.29203,                0.81865,                0.62602,                0.34347,                0.38934,                0.24348,                    inf,                0.90876,                0.93396,                0.00175,                0.00175,                0.00175
                     27,                0.55873,                0.28703,                0.81635,                0.62265,                0.34377,                 0.3897,                0.24337,                    inf,                0.90802,                 0.9345,                0.00142,                0.00142,                0.00142
                     28,                0.55184,                0.28182,                0.81567,                0.62164,                0.34263,                0.38927,                 0.2432,                    inf,                0.90911,                0.93398,                0.00109,                0.00109,                0.00109
                     29,                0.54337,                0.27735,                 0.8139,                0.61883,                0.34174,                0.38905,                0.24277,                    inf,                0.90958,                 0.9335,                0.00076,                0.00076,                0.00076
